upazila81,factory91,factory01,factory05,subdiv81,district81,subdiv61,pop81,nonRiverareaSQKM,hindu81,literacy81,primary81,madrasa81,metalledroad81,kutcha81,roof_bamboo81,hh81,agrolandowner81,urbanpop81,occ_hh81,occ_culti81,occ_mfg81
melandah,0,0,0,jamalpur,jamalpur,jamalpur,206917,241,3482,13,14340,709,2,811,27811,38471,23080,5084,54106,47479,261
mijnshiganj,0,0,0,munshiganj,dhaka,munshiganj,245443,147,19767,25,15512,,23,98,7914,40508,21288,37060,53003,30695,3023
mirpur,0,0,0,kushtia sadar,kushtia,kuslitia sadar,214795,304,6814,15,12745,1196,84,336,19673,31582,18337,11904,53393,39703,1388
mirsharai,0,0,0,ctg sadar north,chittagong,chittagong sadar north,307016,418,46025,28,31480,678,80,1915,29967,51711,32466,983,90085,41602,2890
mirzaganj,0,0,0,patuakhali,patuakhali,patuakhali,109483,146,9959,33,13500,1500,21,97,11159,19522,15383,15630,30186,18067,625
mithapukur,0,0,0,rangpur sadar,rangpur,rangpur sadar,328680,512,26400,18,20000,3000,19,1127,45191,61348,37089,7579,81786,67894,546
mohadebpur,0,0,0,naogaon,rajshahi,naogaon,198572,393,41173,23,16951,619,27,1609,23685,37059,24609,4814,53015,45462,255
mohammadpur,0,0,0,magura,jessore,magura,143703,218,26551,22,13703,1338,14,1492,16638,23511,16806,3456,38799,27776,314
mohancanj,0,0,0,netrokona,mymensinch,netrakona,107934,241,21430,19,6919,594,483,220,15384,20595,12395,12148,27697,23377,174
mohanpur,0,0,0,rajshahi sadar,rajshahi,rajslaahi sadar,100540,163,3130,18,8324,470,19,140,7498,17956,13044,2062,26713,22251,115
moheshpur,0,0,0,jhenaidah,jessore,jhenaidah,189554,406,10331,16,13664,1320,21,145,24328,29160,19197,8428,48404,39723,435
mollahat,0,0,0,bagerhat,khulna,bagerhat,144581,178,42774,24,15240,200,23,735,16097,25411,18886,8444,39437,30046,567
monpura,0,0,0,bhola,barisal,,33687,230,4517,14,2446,202,3,56,4915,5760,3073,2757,2113,9935,7
morrelganj,0,0,0,bagerhat,khulna,bagerhat,272112,423,44536,38,22098,5120,26,124,39135,48114,28389,17992,76070,32692,775
moulavibazar,0,0,0,moulvieazar,sylhet,moulvibazar,204103,337,37763,27,25350,780,63,26,19093,32522,17856,16509,49216,36264,1670
muksudpur,0,0,0,gopalganj,faridpur,gopalganj,246128,309,86065,24,23835,1205,21,6115,21000,43138,31463,3894,69027,45706,783
muktagachha,0,0,0,mymensinch sadar south,mymensinch,myrnensingh sadar south,256906,298,16062,16,17880,2541,6115,515,32377,47762,30781,16292,63995,44259,819
muladi,0,0,0,barisal sadar(north),barisal,barisal sadar north,150978,212,4069,26,11536,1795,16,259,14825,27119,20114,13273,40480,26987,402
munohardi,0,0,0,narsingdi,dhaka,,245206,243,12382,19,27564,,14,346,21937,47332,41178,7337,68937,58952,376
murad nagar,0,0,0,comilla sadar (north),comilla,comilla sadar north,373859,338,42670,22,30696,1598,22,298,26374,63803,45853,14390,97419,60267,1790
nabiganj,0,0,0,hobiganj,sylhet,habiganj,216662,429,40037,19,19523,3412,23,225,24324,35933,19045,4471,56394,40352,242
nabinagar,0,0,0,brahmanbaria,comilla,brahmanbaria,355179,345,38444,19,31321,695,9,327,22865,60425,40544,16085,89347,64419,1331
nachole,0,0,0,nawabganj,rajshahi,nawabganj,74860,283,13787,18,6637,180,3,97,9730,12152,5932,4155,23464,11997,131
nagarkanda,0,0,0,faridpur sadar,faridpur,faidpur sadar,233194,377,29853,18,19935,1811,21,109,27021,43037,32047,6750,67104,49534,238
nagerpur,0,0,0,tangail,tangail,tangail,244346,308,24063,20,23600,2000,8,225,19222,41057,30396,8090,70179,47187,1498
