"machine","capacity","bgmea_num","fac_type","upazila","date_est","exist91","exist00","upaz2011","parent","ipum2011"
280,"100000",2332,0.5,"double mooring",1996,0,1,"201528","020015","020015028"
73,"200000",2023,1,"narayanganj sadar",1995,0,1,"306758","030067","030067058"
436,"1500000",1705,0.5,"savar",1993,0,1,"302672","030026","030026072"
90,NA,2477,1,"narayanganj sadar",1997,0,1,"306758","030067","030067058"
100,NA,2885,0,"mirpur",1999,0,1,"302648","030026","030026048"
110,"10000",1392,0,"uttara, bimanbandar",1992,0,1,"302695","030026","030026095"
130,"40000",297,0,"kalabagan",1986,1,1,"302633","030026","030026033"
70,"60000",1521,1,"jatrabari",1992,0,1,"302629","030026","030026029"
34,"10000",2229,0,"barisal sadar",1996,0,1,"100651","010006","010006051"
95,NA,3147,0.5,"kafrul",2000,0,1,"302630","030026","030026030"
80,"39000",1289,0.5,"uttara, bimanbandar",1991,1,1,"302695","030026","030026095"
167,"105000",1320,0,"sher-e-bangla nagar",1991,1,1,"302680","030026","030026080"
170,"36000",1628,1,"mirpur",1993,0,1,"302648","030026","030026048"
100,"60000",1688,0.5,"gazipur sadar",1993,0,1,"303330","030033","030033030"
160,"37417",247,0.5,"tejgaon industrial area",1986,1,1,"302692","030026","030026092"
119,"70000",841,0,"kafrul",1989,1,1,"302630","030026","030026030"
100,"60000",2425,0,"dhanmondi",1997,0,1,"302616","030026","030026016"
NA,NA,446,0.5,"double mooring",1987,1,1,"201528","020015","020015028"
99,NA,2946,0,"uttara, bimanbandar",1999,0,1,"302695","030026","030026095"
65,"35000",137,0,"ramna",1986,1,1,"302666","030026","030026066"
200,"90000",1752,0,"shahbag",1993,0,1,"302675","030026","030026075"
120,"72000",2489,0,"new market",1997,0,1,"302663","030026","030026063"
168,"48000",1050,0,"sher-e-bangla nagar",1990,1,1,"302680","030026","030026080"
NA,NA,1717,0.5,"sher-e-bangla nagar",1993,0,1,"302680","030026","030026080"
160,"36000",1625,0,"tejgaon industrial area",1993,0,1,"302692","030026","030026092"
234,NA,2355,0,"kafrul",1996,0,1,"302630","030026","030026030"
NA,"4000",1150,0.5,"mirpur",1990,1,1,"302648","030026","030026048"
50,"21000",1300,1,"mohammadpur",1991,1,1,"302650","030026","030026050"
75,"120000",1706,1,"mirpur",1993,0,1,"302648","030026","030026048"
75,"100000",2246,1,"kalabagan",1996,0,1,"302633","030026","030026033"
40,"15000",1749,0.5,"barisal sadar",1993,0,1,"100651","010006","010006051"
230,"55000",2133,1,"new market",1995,0,1,"302663","030026","030026063"
20,"75000",1488,1,"bangshal",1992,0,1,"302605","030026","030026005"
105,"60000",393,0,"tejgaon",1987,1,1,"302690","030026","030026090"
125,"115000",1288,1,"narayanganj sadar",1991,1,1,"306758","030067","030067058"
50,"120000",892,1,"rampura",1989,1,1,"302667","030026","030026067"
196,"36000",500,0,"shyampur",1987,1,1,"302676","030026","030026076"
156,"48000",861,0,"gulshan",1989,1,1,"302626","030026","030026026"
70,"50000",2082,0.5,"gulshan",1995,0,1,"302626","030026","030026026"
180,"360000",794,1,"mirpur",1989,1,1,"302648","030026","030026048"
60,"300000",1176,1,"motijheel",1991,1,1,"302654","030026","030026054"
343,"20000",252,0,"kafrul",1986,1,1,"302630","030026","030026030"
145,"1250",560,0,"kafrul",1988,1,1,"302630","030026","030026030"
60,"120000",2335,1,"narayanganj sadar",1996,0,1,"306758","030067","030067058"
340,"60000",1920,1,"kafrul",1994,0,1,"302630","030026","030026030"
406,"20000",903,1,"mirpur",1989,1,1,"302648","030026","030026048"
137,"125000",667,0.5,"jatrabari",1988,1,1,"302629","030026","030026029"
97,"39000",253,0,"chak bazar",1986,1,1,"302609","030026","030026009"
37,NA,1763,0,"chak bazar",1993,0,1,"302609","030026","030026009"
84,"30000",302,0.5,"gulshan",1986,1,1,"302626","030026","030026026"
120,"45000",643,0,"mirpur",1988,1,1,"302648","030026","030026048"
95,"20000",1398,0,"narayanganj sadar",1992,0,1,"306758","030067","030067058"
NA,NA,25,0.5,"mirpur",1985,1,1,"302648","030026","030026048"
70,"70000",2281,1,"tejgaon industrial area",1996,0,1,"302692","030026","030026092"
160,"36000",599,0,"paltan",1988,1,1,"302665","030026","030026065"
120,"72000",969,0.5,"kafrul",1990,1,1,"302630","030026","030026030"
60,"146000",1919,1,"narayanganj sadar",1994,0,1,"306758","030067","030067058"
50,"13100",1500,1,"mirpur",1992,0,1,"302648","030026","030026048"
135,"135",2708,0.5,"gulshan",1998,0,1,"302626","030026","030026026"
85,"60000",1858,0.5,"dhanmondi",1994,0,1,"302616","030026","030026016"
125,"25000",905,0,"tejgaon industrial area",1989,1,1,"302692","030026","030026092"
105,"45000",1336,0.5,"gulshan",1991,1,1,"302626","030026","030026026"
140,"250000",1064,0.5,"mirpur",1990,1,1,"302648","030026","030026048"
80,"150000",2261,1,"narayanganj sadar",1996,0,1,"306758","030067","030067058"
185,"40000",1577,1,"darus salam",1993,0,1,"302611","030026","030026011"
NA,NA,617,0.5,"savar",1988,1,1,"302672","030026","030026072"
120,"72000",857,1,"narayanganj sadar",1989,1,1,"306758","030067","030067058"
134,"48000",317,0.5,"rampura",1986,1,1,"302667","030026","030026067"
200,"15000",113,0.5,"tejgaon industrial area",1985,1,1,"302692","030026","030026092"
42,"20000",782,0.5,"chak bazar",1989,1,1,"302609","030026","030026009"
NA,NA,1439,1,"narayanganj sadar",1992,0,1,"306758","030067","030067058"
200,"90000",1182,0,"uttara, bimanbandar",1991,1,1,"302695","030026","030026095"
110,"30000",2522,0,"rampura",1997,0,1,"302667","030026","030026067"
166,"75000",118,0.5,"demra",1985,1,1,"302612","030026","030026012"
80,"80000",985,1,"kafrul",1990,1,1,"302630","030026","030026030"
118,"18000",1364,0,"mirpur",1992,0,1,"302648","030026","030026048"
150,"36000",2113,0.5,"narayanganj sadar",1995,0,1,"306758","030067","030067058"
NA,NA,1471,0.5,"rampura",1992,0,1,"302667","030026","030026067"
80,"100000",1464,1,"narayanganj sadar",1992,0,1,"306758","030067","030067058"
140,"70000",258,0.5,"jatrabari",1986,1,1,"302629","030026","030026029"
175,"60000",1812,1,"uttara, bimanbandar",1994,0,1,"302695","030026","030026095"
230,"750000",1569,0.5,"bangshal",1993,0,1,"302605","030026","030026005"
NA,NA,1841,0.5,"kafrul",1994,0,1,"302630","030026","030026030"
40,"18000",2002,0.5,"chak bazar",1995,0,1,"302609","030026","030026009"
98,"300000",1955,1,"narayanganj sadar",1994,0,1,"306758","030067","030067058"
370,"60000",2327,1,"gazipur sadar",1996,0,1,"303330","030033","030033030"
80,"24000",2962,0.5,"uttara, bimanbandar",1999,0,1,"302695","030026","030026095"
250,NA,2593,1,"narayanganj sadar",1997,0,1,"306758","030067","030067058"
87,"25000",123,0,"tejgaon industrial area",1986,1,1,"302692","030026","030026092"
94,"165000",1592,0.5,"gulshan",1993,0,1,"302626","030026","030026026"
84,"81200",1062,0.5,"mirpur",1990,1,1,"302648","030026","030026048"
98,"65000",1880,0.5,"mirpur",1994,0,1,"302648","030026","030026048"
102,"18000",1851,0,"mirpur",1994,0,1,"302648","030026","030026048"
365,"60000",2631,1,"pallabi",1998,0,1,"302664","030026","030026064"
50,"125000",1973,0.5,"bandar",1994,0,1,"306706","030067","030067006"
80,"50000",1558,0.5,"gazipur sadar",1992,0,1,"303330","030033","030033030"
140,NA,2515,1,"kadam tali",1997,0,1,"302632","030026","030026032"
154,"60000",959,0,"mirpur",1990,1,1,"302648","030026","030026048"
215,"55000",1627,0,"new market",1993,0,1,"302663","030026","030026063"
268,NA,2792,1,"tejgaon industrial area",1998,0,1,"302692","030026","030026092"
220,"144000",846,1,"uttara, bimanbandar",1989,1,1,"302695","030026","030026095"
179,"120000",2401,1,"kalabagan",1997,0,1,"302633","030026","030026033"
70,"60000",1070,1,"pallabi",1990,1,1,"302664","030026","030026064"
124,"120000",1647,0.5,"rampura",1993,0,1,"302667","030026","030026067"
65,"150000",2419,1,"narayanganj sadar",1997,0,1,"306758","030067","030067058"
165,"65000",963,0.5,"gazipur sadar",1990,1,1,"303330","030033","030033030"
40,"60000",2265,0.5,"narayanganj sadar",1996,0,1,"306758","030067","030067058"
70,"140000",1951,1,"narayanganj sadar",1994,0,1,"306758","030067","030067058"
65,"125000",1611,0.5,"kafrul",1993,0,1,"302630","030026","030026030"
